symbol	Uninfected_12.FPKM	SC35M_wt_12.FPKM	uninfected_12_SC35M_wt_12.logfc	uninfected_12_SC35M_wt_12.qvalue
TSPAN6	21.8454	22.4954	0.0422998	0.907376
TNMD	0	0	0	1
DPM1	70.6729	80.0602	0.179927	0.564946
SCYL3	3.52551	3.10927	-0.181253	0.710816
C1orf112	16.1799	16.5396	0.0317225	0.965478
FGR	0.0818505	0.0832067	0.0237071	1
CFH	67.0724	61.4997	-0.125141	0.532686
FUCA2	83.6974	81.5674	-0.0371898	0.935154
GCLC	56.2226	48.1317	-0.224164	0.504783
NFYA	10.9878	10.4661	-0.0701822	0.882794
STPG1	5.71116	6.61051	0.210977	0.865165
NIPAL3	16.3068	15.6683	-0.0576326	0.888799
LAS1L	78.5838	62.683	-0.326158	0.0672042
ENPP4	0	0	0	1
SEMA3F	18.1779	17.1798	-0.0814731	0.918985
CFTR	1.74094	1.32951	-0.388965	0.817505
ANKIB1	22.528	18.1535	-0.311474	0.507016
CYP51A1	55.1544	55.1623	0.000207454	0.999218
KRIT1	33.626	26.066	-0.367411	0.302818
RAD52	14.6436	12.3609	-0.24448	0.885347
MYH16	0.686097	0.447625	-0.616122	0.700129
BAD	37.505	46.4511	0.308629	0.774793
LAP3	25.2488	24.6301	-0.0357955	0.969477
CD99	129.838	138.798	0.0962752	0.792754
HS3ST1	0.295454	0.241634	-0.290111	1
ABP1	0	0	0	1
WNT16	0.0312413	0.0360758	0.207575	1
HECW1	6.52437	5.57504	-0.226857	0.725488
MAD1L1	31.0664	21.2082	-0.550735	0.0581759
LASP1	90.9205	78.238	-0.216735	0.455772
SNX11	10.5505	10.3252	-0.0311463	0.967764
TMEM176A	0	0	0	1
M6PR	179.296	184.428	0.0407123	0.978787
KLHL13	12.3475	15.4344	0.321933	0.821702
CYP26B1	3.94054	4.77228	0.276282	0.605858
ICA1	5.33403	4.57879	-0.220261	0.890355
DBNDD1	5.56795	6.32615	0.184182	0.795025
ALS2	6.8088	6.95659	0.0309812	0.972371
CASP10	2.4842	2.05511	-0.273566	0.570648
CFLAR	21.4794	19.704	-0.124459	0.835423
TFPI	38.1605	43.4445	0.187093	0.490613
NDUFAF7	20.6904	22.8657	0.144223	0.944647
RBM5	42.1626	36.9123	-0.191865	0.858716
MTMR7	1.91791	1.50107	-0.353544	0.822161
SLC7A2	66.2595	55.4385	-0.257238	0.103909
ARF5	108.154	126.959	0.231269	0.283487
SARM1	2.28146	1.61274	-0.500445	0.802081
POLDIP2	112.545	117.731	0.064997	0.823405
PLXND1	52.8465	39.2091	-0.430619	0.186178
AK2	215.886	220.543	0.0307949	0.944537
CD38	0	0.00783566	Inf	1
FKBP4	126.863	129.915	0.0343004	0.952041
KDM1A	133.729	111.035	-0.268301	0.311955
RBM6	31.7695	33.4023	0.0723035	0.945352
CAMKK1	10.9271	9.21048	-0.246559	0.0907571
RECQL	29.4454	27.4362	-0.101959	0.84305
CCDC132	22.8081	15.226	-0.583008	0.272814
HSPB6	0.278099	0.40677	0.548615	0.504433
ARHGAP33	5.3965	4.63865	-0.21832	0.959035
NDUFAB1	187.167	218.289	0.221917	0.134539
