symbol	uninfected_12.FPKM	SC35M_dNS1_12.FPKM	uninfected_12_SC35M_dNS1_12.logfc	uninfected_12_SC35M_dNS1_12.qvalue
TSPAN6	21.8454	21.4948	-0.0233415	0.95535
TNMD	0	0	0	1
DPM1	70.6729	69.7432	-0.0191045	0.974756
SCYL3	3.52551	3.71891	0.07705	0.917465
C1orf112	16.1799	17.326	0.098732	0.861705
FGR	0.0818505	0.0847137	0.0496034	1
CFH	67.0724	65.747	-0.0287957	0.940729
FUCA2	83.6974	77.6623	-0.107969	0.697466
GCLC	56.2226	52.3019	-0.104287	0.837789
NFYA	10.9878	12.642	0.202321	0.438315
STPG1	5.71116	6.91971	0.276929	0.795448
NIPAL3	16.3068	14.0933	-0.210471	0.350408
LAS1L	78.5838	70.0886	-0.165051	0.454366
ENPP4	0	0	0	1
SEMA3F	18.1779	18.8303	0.0508708	0.954543
CFTR	1.74094	1.10775	-0.652226	0.65357
ANKIB1	22.528	20.4554	-0.139239	0.818073
CYP51A1	55.1544	64.4007	0.2236	0.227097
KRIT1	33.626	29.1567	-0.20575	0.601192
RAD52	14.6436	14.8998	0.0250187	0.987287
MYH16	0.686097	0.487995	-0.491545	0.783977
BAD	37.505	44.7349	0.254318	0.844057
LAP3	25.2488	27.5988	0.128391	0.869551
CD99	129.838	131.629	0.0197583	0.970141
HS3ST1	0.295454	0.493327	0.739614	0.700646
ABP1	0	0	0	1
WNT16	0.0312413	0.0418485	0.421718	1
HECW1	6.52437	4.48315	-0.541326	0.284382
MAD1L1	31.0664	31.4633	0.0183154	0.979091
LASP1	90.9205	84.1535	-0.111581	0.767217
SNX11	10.5505	12.6283	0.259353	0.430887
TMEM176A	0	0	0	1
M6PR	179.296	172.535	-0.0554522	0.969615
KLHL13	12.3475	12.5483	0.0232779	0.990094
CYP26B1	3.94054	5.69582	0.53151	0.173019
ICA1	5.33403	2.44773	-1.12378	0.0486907
DBNDD1	5.56795	5.0253	-0.147936	0.821793
ALS2	6.8088	8.08973	0.248692	0.595751
CASP10	2.4842	2.23147	-0.154786	0.810922
CFLAR	21.4794	20.3596	-0.0772422	0.89895
TFPI	38.1605	41.7189	0.128622	0.67268
NDUFAF7	20.6904	24.1771	0.224674	0.907762
RBM5	42.1626	43.4981	0.0449879	0.97271
MTMR7	1.91791	2.0622	0.104645	0.963293
SLC7A2	66.2595	74.079	0.160937	0.43684
ARF5	108.154	108.572	0.00555911	0.988979
SARM1	2.28146	2.13358	-0.0966808	0.970128
POLDIP2	112.545	109.166	-0.0439759	0.903383
PLXND1	52.8465	47.7947	-0.14496	0.776815
AK2	215.886	209.2	-0.0453857	0.90822
CD38	0	0.00589218	Inf	1
FKBP4	126.863	141.731	0.159883	0.576711
KDM1A	133.729	120.564	-0.149516	0.685621
RBM6	31.7695	33.7662	0.0879374	0.929838
CAMKK1	10.9271	9.42722	-0.213002	0.160156
RECQL	29.4454	29.7671	0.015679	0.979489
CCDC132	22.8081	15.851	-0.524974	0.245889
HSPB6	0.278099	0.292314	0.0719211	1
ARHGAP33	5.3965	4.77845	-0.175482	0.96159
NDUFAB1	187.167	184.914	-0.0174701	0.961388
PDK4	9.70317	9.07793	-0.0960919	0.67268
SLC22A16	0	0	0	1
ZMYND10	1.11193	0.969695	-0.197468	0.892829
ABCB5	0	0.00159431	Inf	1
ARX	0.00416737	0.00502399	0.269698	1
SLC25A13	44.8143	50.7785	0.180258	0.829112
ST7	22.8197	23.3488	0.033069	0.957574
CDC27	87.8482	85.2143	-0.0439179	0.96474
SLC4A1	0.00525098	0.00541619	0.0446915	1
CALCR	0.0238969	0.00528276	-2.17746	1
HCCS	64.6529	73.3586	0.18225	0.278968
DVL2	26.1441	30.1269	0.204565	0.380874
PRSS22	0.343499	0.386255	0.169248	0.931004
UPF1	35.5767	39.0277	0.133564	0.744545
SKAP2	10.7208	9.54821	-0.167117	0.721646
SLC25A5	923.568	903.741	-0.0313088	0.95627
CCDC109B	15.7366	18.2373	0.21277	0.745899
HOXA11	4.37065	4.09123	-0.0953111	0.820422
POLR2J	36.2418	37.5453	0.0509764	0.918202
DHX33	16.0087	15.8947	-0.0103085	0.988985
MEOX1	4.41891	2.56143	-0.786741	0.000538752
THSD7A	0	0	0	1
LIG3	40.143	30.3272	-0.404533	0.594593
RPAP3	33.3551	36.1623	0.116578	0.852582
ACSM3	0.751908	0.491115	-0.614498	0.644239
AC004381.6	16.9324	13.9609	-0.278392	0.699304
CIAPIN1	159.713	151.584	-0.0753654	0.963727
SPPL2B	30.8571	27.0171	-0.191732	0.642882
FAM214B	2.63209	3.26645	0.311515	0.332182
COPZ2	4.96398	9.50849	0.937718	0.622883
PRKAR2B	0.0220487	0.0243165	0.141239	1
MSL3	28.8271	28.268	-0.0282592	0.965435
CREBBP	23.6319	27.6767	0.227933	0.805054
BZRAP1	0	0	0	1
MPO	0	0	0	1
PON1	0.534965	0.413289	-0.372295	0.885907
GCFC2	17.9387	17.8993	-0.00317811	0.996513
WDR54	33.1415	29.7567	-0.155425	0.492144
CROT	2.86516	2.32496	-0.30141	0.406183
ABCB4	0.00839489	0	-Inf	1
MLL5	15.592	18.6503	0.258392	0.59156
RHBDD2	49.6924	38.2314	-0.378266	0.627094
SOX8	0	0	0	1
IBTK	19.7152	20.5096	0.056988	0.846723
ZNF195	17.5164	18.1373	0.0502492	0.946964
MYCBP2	24.2083	24.1837	-0.00146275	0.997817
FBXL3	22.1146	22.549	0.0280662	0.965317
ITGAL	0.0214095	0.0701332	1.71185	1
PDK2	31.379	24.5312	-0.355185	0.093871
ITGA3	180.921	192.124	0.0866772	0.928176
ZFX	46.2878	44.9864	-0.0411432	0.9813
LAMP2	43.1626	41.6291	-0.0521926	0.901576
GGNBP2	39.8244	37.2412	-0.0967552	0.803421
ITGA2B	1.67835	0.333694	-2.33044	0.153745
ASB4	0.0309707	0.0581145	0.907995	1
GDE1	61.8224	58.1355	-0.0887094	0.809022
C19orf60	37.2558	34.9681	-0.0914252	0.963148
CRLF1	6.69629	6.6017	-0.0205241	0.991894
OSBPL7	12.1983	8.29063	-0.557131	0.215112
TMEM98	0	0	0	1
YBX2	0.178766	0.221659	0.310269	1
KRT33A	0	0.00945503	Inf	1
MAP3K14	5.41807	4.44437	-0.2858	0.402162
ABCC8	0.156079	0.278324	0.834488	1
CCL18	0	0	0	1
CCL3	0	0.0135303	Inf	1
SYNRG	9.48605	12.0365	0.343538	0.456029
CACNG3	0.0435171	0.0519211	0.254738	1
TMEM132A	32.9679	31.5459	-0.063606	0.959037
AP2B1	84.0189	85.6399	0.02757	0.973176
TAC1	0	0	0	1
ZNF263	14.9101	15.1625	0.0242113	0.968202
CX3CL1	0.0159165	0.00662631	-1.26424	1
SPATA20	8.46201	7.52816	-0.168703	0.712451
CACNA1G	0.019031	0.0365582	0.941842	1
TNFRSF12A	92.4244	78.4159	-0.237127	0.608452
DLX6	0	0	0	1
MAP3K9	2.2993	2.17839	-0.0779329	0.827817
RALA	57.3497	62.786	0.130656	0.888502
BAIAP2L1	13.0831	12.8722	-0.0234427	0.974722
JHDM1D	1.76581	2.03131	0.202086	0.800261
ETV1	0	0	0	1
AGK	14.5297	15.2375	0.0686165	0.946964
ALDH3B1	35.3288	27.5224	-0.360241	0.0780051
TTC22	0	0	0	1
PHTF2	10.622	12.0053	0.176626	0.785994
CCL26	10.8901	8.10275	-0.426533	0.121343
FARP2	17.6232	17.8288	0.0167351	0.986947
USH1C	3.07861	1.37368	-1.16424	0.529891
GGCT	83.4377	90.1359	0.111402	0.779928
DBF4	30.9054	35.0149	0.180109	0.717596
TBXA2R	3.22074	3.08915	-0.0601833	0.913775
IFRD1	32.1883	43.7816	0.443785	0.160803
LGALS14	0	0	0	1
COX10	11.9201	12.0031	0.010012	0.982819
GTF2IRD1	39.2047	43.7902	0.159582	0.779704
PAF1	48.3099	46.726	-0.0480945	0.93084
VPS41	37.925	31.7906	-0.25455	0.688845
ARHGAP44	0.0848765	0.0695591	-0.287125	1
ELAC2	100.053	99.7261	-0.0047239	0.992304
SCIN	0.48274	0.493026	0.030418	0.983833
ARSD	5.40746	4.50365	-0.263855	0.832619
PNPLA4	28.8055	28.0811	-0.036743	0.943563
MYH13	0	0	0	1
ADIPOR2	49.7555	53.5305	0.105504	0.874259
CDKL3	1.31826	0.59611	-1.14499	0.436022
UPP2	0	0	0	1
PRSS21	212.316	200.698	-0.0811877	0.76658
MARK4	5.85097	6.52685	0.157711	0.907965
PROM1	0.159487	0.105916	-0.59051	1
CCDC124	161.469	161.682	0.00190405	0.993975
CEACAM21	0	0	0	1
PAFAH1B1	83.0005	87.9578	0.0836928	0.867517
NOS2	0.00276975	0.0335338	3.59779	1
DNAH9	0.0263224	0.0162807	-0.69313	1
KIAA0100	105.809	105.368	-0.00603443	0.994597
SLC13A2	0.125485	0.06181	-1.02161	1
GAS7	3.77227	2.91544	-0.37172	0.556003
TRAPPC6A	4.06988	3.79167	-0.102156	0.965863
MATK	26.4384	23.8294	-0.149893	0.507071
CEACAM7	0	0	0	1
CD79B	0.0323193	0.0421758	0.384022	1
SCN4A	0.180856	0.0871065	-1.05399	1
ST7L	35.2218	33.2726	-0.0821309	0.959334
TKTL1	0.0109716	0.0708046	2.69008	1
PAX6	15.579	12.0361	-0.372235	0.831807
RPUSD1	16.489	15.9386	-0.048981	0.942293
RHBDF1	11.0589	9.9809	-0.147961	0.747556
LUC7L	32.2633	40.9698	0.344669	0.0565693
CACNA2D2	0.0280837	0.0321003	0.192853	1
BAIAP3	0.728644	0.658078	-0.146957	0.958934
TSR3	50.3688	47.0939	-0.09699	0.703358
PIGQ	38.2717	38.0485	-0.0084362	0.994242
CRAMP1L	16.6173	16.9463	0.0282856	0.989825
TEAD3	7.09831	6.69175	-0.0850917	0.839142
SELE	0	0	0	1
DNAJC11	89.5243	99.4654	0.151916	0.865524
FMO3	0	0	0	1
MYLIP	6.54672	6.89692	0.0751785	0.808949
