symbol	uninfected_24.FPKM	SC35M_dNS1_24.FPKM	uninfected_24_SC35M_dNS1_24.logfc	uninfected_24_SC35M_dNS1_24.qvalue
TSPAN6	19.6057	19.8718	0.0194531	0.964869
TNMD	0	0	0	1
DPM1	58.5293	58.8516	0.00792183	0.988019
SCYL3	3.38153	4.05431	0.26178	0.498169
C1orf112	11.878	13.2112	0.153479	0.758895
FGR	0.228232	0.183754	-0.312725	1
CFH	102.361	143.332	0.485689	0.000538752
FUCA2	76.4943	65.5579	-0.222583	0.234399
GCLC	33.6145	41.8902	0.31753	0.28129
NFYA	12.27	14.8185	0.272268	0.17288
STPG1	5.78105	5.36097	-0.108837	0.945014
NIPAL3	17.5299	14.5637	-0.267438	0.140303
LAS1L	67.4522	66.398	-0.0227257	0.958112
ENPP4	0	0	0	1
SEMA3F	21.4398	21.7892	0.023324	0.975789
CFTR	1.45119	0.891109	-0.703564	0.599206
ANKIB1	22.1361	29.5538	0.416943	0.355678
CYP51A1	51.0444	59.052	0.210232	0.267554
KRIT1	30.4349	27.0837	-0.168303	0.702565
RAD52	16.5903	15.6921	-0.0803002	0.969095
MYH16	0.94974	1.15066	0.276856	0.904834
BAD	38.488	33.2381	-0.211572	0.883399
LAP3	27.9629	104.521	1.9022	0.000538752
CD99	156.212	135.087	-0.209624	0.352065
HS3ST1	0.270644	0.878475	1.6986	0.227785
ABP1	0	0	0	1
WNT16	0.0279505	0.0336437	0.267466	1
HECW1	5.37748	3.55276	-0.597992	0.276069
MAD1L1	26.7992	36.1377	0.431319	0.118953
LASP1	87.972	74.1452	-0.246692	0.372857
SNX11	8.27971	13.109	0.662909	0.00737689
TMEM176A	0	0	0	1
M6PR	148.271	174.585	0.235687	0.844557
KLHL13	10.4687	9.67493	-0.113762	0.955204
CYP26B1	3.55519	6.46695	0.863161	0.0131611
ICA1	10.593	5.3883	-0.975212	0.104302
DBNDD1	5.05518	4.29936	-0.233641	0.624295
ALS2	5.20749	6.59972	0.341815	0.392623
CASP10	3.31897	5.36874	0.69385	0.0843292
CFLAR	16.7552	25.4655	0.603938	0.0101569
TFPI	32.492	37.4626	0.205367	0.354318
NDUFAF7	19.7338	20.8539	0.079652	0.968202
RBM5	44.5857	56.3361	0.337479	0.629254
MTMR7	2.10553	2.4259	0.204337	0.916469
SLC7A2	88.1827	90.6246	0.0394063	0.91621
ARF5	100.546	96.4359	-0.0602115	0.901053
SARM1	4.52824	6.0375	0.414999	0.813545
POLDIP2	101.172	106.14	0.0691579	0.81099
PLXND1	68.8666	52.1052	-0.402378	0.231273
AK2	175.115	188.903	0.109341	0.682201
CD38	0.00644653	0.0583021	3.17695	1
FKBP4	74.4795	98.4906	0.403142	0.0955895
KDM1A	126.035	99.4474	-0.341816	0.158553
RBM6	28.1132	35.2617	0.326857	0.659266
CAMKK1	9.78938	9.78752	-0.000273602	0.998958
RECQL	33.0209	35.4272	0.101479	0.809315
CCDC132	20.6016	21.9888	0.0940115	0.938812
HSPB6	0.595519	0.316259	-0.913041	0.11602
ARHGAP33	2.31288	1.52141	-0.604285	0.782475
NDUFAB1	149.407	155.309	0.0558932	0.84155
PDK4	11.2849	15.292	0.438379	0.000538752
SLC22A16	0	0	0	1
ZMYND10	1.21458	1.19054	-0.0288465	0.983564
ABCB5	0	0	0	1
ARX	0.00722239	0.0200926	1.47612	1
SLC25A13	35.7112	44.145	0.305873	0.440955
ST7	27.1662	26.6271	-0.0289166	0.974398
CDC27	69.9282	80.2376	0.198405	0.717821
SLC4A1	0.0172117	0.0886451	2.36465	1
CALCR	0.00691132	0.00672976	-0.0384048	1
HCCS	48.4599	61.7172	0.348882	0.00878921
DVL2	24.7296	29.1391	0.236722	0.239648
PRSS22	0.28992	0.44967	0.633211	0.667183
UPF1	34.4784	38.6538	0.164918	0.688088
SKAP2	11.7157	9.84567	-0.250883	0.501841
SLC25A5	922.232	845.472	-0.125372	0.691882
CCDC109B	16.5367	15.4968	-0.0937059	0.935687
HOXA11	3.987	4.40414	0.143558	0.701605
POLR2J	33.0379	30.915	-0.095817	0.823405
DHX33	14.1821	15.6922	0.145985	0.838873
MEOX1	14.0235	3.48478	-2.00871	0.000538752
THSD7A	0	0	0	1
LIG3	46.0877	46.6552	0.0176579	0.991894
RPAP3	25.8271	32.0717	0.312418	0.362656
ACSM3	0.828418	0.40232	-1.04202	0.394655
AC004381.6	11.8628	11.6799	-0.0224235	0.983939
CIAPIN1	131.232	138.723	0.0800927	0.959723
SPPL2B	31.2395	27.1769	-0.200988	0.600554
FAM214B	1.93555	1.82134	-0.0877402	0.900449
COPZ2	3.42318	1.89009	-0.856878	0.0874224
PRKAR2B	0	0	0	1
MSL3	30.6008	39.0918	0.3533	0.190638
CREBBP	21.392	33.4246	0.643836	0.182028
BZRAP1	0	0	0	1
MPO	0	0	0	1
PON1	0.686481	0.516012	-0.411814	0.802894
GCFC2	19.1549	21.3544	0.15682	0.865565
WDR54	36.1492	28.3513	-0.350549	0.0193976
CROT	2.57446	1.84984	-0.476872	0.133215
ABCB4	0	0.0033916	Inf	1
MLL5	16.1609	21.5876	0.417697	0.357808
RHBDD2	48.4426	44.3085	-0.128693	0.908567
SOX8	0	0	0	1
IBTK	22.047	23.3484	0.0827418	0.705868
ZNF195	16.8094	18.5265	0.140318	0.720803
MYCBP2	25.7605	46.8017	0.861399	0.00948013
FBXL3	22.9693	23.4188	0.0279622	0.961186
ITGAL	0.142829	0.0100249	-3.83262	1
PDK2	41.6834	27.9158	-0.578389	0.00948013
ITGA3	190.262	216.131	0.183915	0.799707
ZFX	51.422	45.8589	-0.165182	0.917171
LAMP2	41.55	46.0499	0.14835	0.472941
GGNBP2	41.8447	35.0473	-0.255743	0.269493
ITGA2B	0.435123	0.27028	-0.686967	0.600851
ASB4	0.0188876	0.00257908	-2.87251	1
GDE1	48.7019	47.5212	-0.0354067	0.943849
C19orf60	35.0253	28.181	-0.313673	0.834321
CRLF1	5.88167	4.42573	-0.410309	0.873032
OSBPL7	8.36639	8.3891	0.00391013	0.996885
TMEM98	0.0353788	0	-Inf	1
YBX2	0.505616	0.387552	-0.383653	0.821949
KRT33A	0	0.0113374	Inf	1
MAP3K14	4.25336	7.26124	0.771614	0.00321856
ABCC8	0.0640669	1.34197	4.38862	0.000538752
CCL18	0	0	0	1
CCL3	0	0.231263	Inf	1
SYNRG	8.67902	12.7749	0.557712	0.28299
CACNG3	0.0658684	0.0398797	-0.723932	1
TMEM132A	27.0297	29.4617	0.124295	0.912325
AP2B1	75.5496	72.1784	-0.0658568	0.93034
TAC1	0	0	0	1
ZNF263	13.7772	25.8275	0.906632	0.175236
CX3CL1	0.0578677	0.831127	3.84424	0.0202939
